,x1,x2,y1,y2
6,1.5166667,1.5176667,42.5,42.501
32,1.5833333,1.5843333,42.5333333,42.5343333
53,1.5333333,1.5343333,42.5,42.501
93,54.36666700000001,54.367667000000004,24.466667,24.467667000000002
242,55.304717,55.305716999999994,25.258172,25.259172
490,55.403304000000006,55.404304,25.35731,25.35831
1384,70.668152,70.66915200000001,34.082481,34.083481
3717,61.653969,61.654968999999994,32.758697999999995,32.75969799999999
3784,69.260195,69.261195,35.633484,35.634484
4547,71.14697,71.14797,34.873113000000004,34.874113
4799,71.358087,71.359087,35.033328000000004,35.034328
5410,68.015512,68.016512,36.26468,36.265679999999996
5678,69.645728,69.64672800000001,34.173553000000005,34.174553
6644,68.708286,68.709286,36.130684,36.131684
6651,69.274274,69.27527400000001,34.493761,34.494761
7935,68.948611,68.949611,33.9675,33.9685
11059,69.814644,69.815644,37.397734,37.398734
11524,69.174011,69.175011,35.016585,35.017585
14630,65.982341,65.98334100000001,35.416737,35.417736999999995
18389,64.920713,64.92171300000001,36.432589,36.433589
18390,66.82066,66.82166000000001,36.98782,36.98882
19611,65.459659,65.460659,32.624131,32.625130999999996
22872,71.570658,71.571658,36.706932,36.707932
23231,62.116383,62.117383,32.374508,32.375507999999996
24457,69.225922,69.226922,33.597439,33.598439
25037,68.4225,68.4235,33.550833000000004,33.551833
25187,64.570048,64.571048,31.820894,31.821894
29709,62.199673,62.200672999999995,34.348167,34.349166999999994
30969,70.45153,70.45253000000001,34.426468,34.427468
32582,70.83420699999999,70.835207,36.864768,36.865767999999996
32756,69.18333299999999,69.184333,34.516667,34.517666999999996
40647,67.698255,67.69925500000001,36.697362,36.698361999999996
40903,69.92041,69.92141000000001,33.339512,33.340512
44398,61.197778,61.198778,34.653889,34.654889
45272,61.952206,61.953205999999994,33.29565,33.29665
46301,66.664088,66.66508800000001,35.489360999999995,35.49036099999999
49564,70.20944399999999,70.210444,34.671389000000005,34.672389
50172,61.838304,61.839304,30.436244,30.437244
53427,69.13343,69.13443000000001,36.064904,36.065903999999996
56128,70.4,70.40100000000001,34.95,34.951
56562,69.152798,69.15379800000001,32.901111,32.902111
56920,68.953333,68.954333,34.5875,34.588499999999996
57325,67.023273,67.02427300000001,34.387949,34.388949
63360,65.710126,65.71112600000001,31.613323,31.614323000000002
63793,66.074375,66.07537500000001,37.404464,37.405463999999995
66589,68.857001,68.858001,36.728955,36.729955
67917,69.83045,69.83145,37.126035,37.127035
67989,62.6,62.601,30.15,30.151
69071,64.305199,64.306199,34.107375,34.108374999999995
70277,64.835903,64.836903,32.072752,32.073752
71418,65.932487,65.933487,36.215443,36.216443
76853,65.752904,65.753904,36.667567,36.668566999999996
78759,62.1474,62.148399999999995,33.302944000000004,33.303944
82607,69.533559,69.534559,36.734133,36.735133
83641,64.42115600000001,64.42215600000002,33.521176000000004,33.522176
84139,66.42132,66.42232,35.948308000000004,35.949308
85454,66.63253399999999,66.633534,32.927751,32.928751
