,x1,x2,y1,y2
93,54.36666700000001,54.36676700000001,24.466667,24.466767
242,55.304717,55.304817,25.258172,25.258271999999998
490,55.40330400000001,55.403404000000016,25.35731,25.357409999999998
6644,68.708286,68.708386,36.130684,36.130784000000006
24457,69.225922,69.226022,33.597439,33.597539000000005
25037,68.4225,68.4226,33.550833000000004,33.55093300000001
29709,62.199673,62.199773,34.348167,34.348267
30969,70.45153,70.45163000000001,34.426468,34.426568
32756,69.18333299999999,69.183433,34.516667,34.516767
63360,65.710126,65.710226,31.613323,31.613423
66589,68.857001,68.857101,36.728955,36.729055
92530,19.4413889,19.4414889,41.3230556,41.32315560000001
92635,20.0822222,20.0823222,41.1125,41.1126
102871,19.8188889,19.8189889,41.3275,41.327600000000004
105669,43.8475,43.8476,40.7894444,40.789544400000004
107254,44.4883333,44.488433300000004,40.8127778,40.8128778
107461,44.51361110000001,44.513711100000016,40.1811111,40.181211100000006
108559,13.407222,13.407322,-12.578333,-12.578233
115986,15.739167000000002,15.739267000000002,-12.776111,-12.776011
116642,16.933332999999998,16.933432999999997,-12.383333,-12.383233
116936,13.599722,13.599822,-12.319722,-12.319622
117135,13.233173999999998,13.233273999999998,-8.836803999999997,-8.836703999999997
117180,13.5,13.5001,-14.916667000000002,-14.916567000000002
127933,-62.272432,-62.272332,-38.719595,-38.719494999999995
128679,-65.785239,-65.785139,-28.469574,-28.469474
129279,-67.496558,-67.49645799999999,-45.864135,-45.864034999999994
129295,-58.02089,-58.02079,-31.392959,-31.392859
129336,-64.18105200000001,-64.180952,-31.413496,-31.413396
129422,-58.834099,-58.833999,-27.480596,-27.480496
130450,-58.178139,-58.178039,-26.177534,-26.177434
131309,-65.297116,-65.297016,-24.194565,-24.194465
131741,-57.954533,-57.954432999999995,-34.921454,-34.921353999999994
131795,-66.850668,-66.850568,-29.411048,-29.410948
132571,-57.557539,-57.557438999999995,-38.002278,-38.002177999999994
132705,-68.82717099999999,-68.82707099999999,-32.890845,-32.890744999999995
132712,-65.461405,-65.461305,-33.674359,-33.674259
133003,-68.059102,-68.05900199999999,-38.951606,-38.951505999999995
133317,-60.523802,-60.523702,-31.731967,-31.731867
133624,-55.896078,-55.895978,-27.367077,-27.366977
134159,-58.983886,-58.983785999999995,-27.46056,-27.46046
134212,-64.349918,-64.349818,-33.130671,-33.130570999999996
134317,-60.63931700000001,-60.63921700000001,-32.946818,-32.946718
134402,-65.411664,-65.411564,-24.785896,-24.785796
134483,-71.301369,-71.30126899999999,-41.140293,-41.140193
134640,-68.536389,-68.536289,-31.5375,-31.5374
